Ref.Code,"Business unit","Client Name",Email,"Address Line","Split Rate","Booking Email","Invoicing Email","Invoice Address",Contact
BU95H62,"5 Sussex Grove  (Bethphage)",Bethphage,bwiggetts@bethphage.co.uk,"Sussex Grove, Telford TF3 2EY, UK",ON,,"suppliers@bethphage.co.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 7809 395001"
BU95H80,"50 Deepdale","Swanton Care",na@handfcare.com,"Deepdale, Telford TF3 2EJ, UK",ON,,"Invoices@swantoncare.com, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 7392 080787"
BU95H71,"50A The Furlongs  (Bethphage)",Bethphage,eboulton@bethphage.co.uk,"The Furlongs, Bicton Heath, Shrewsbury SY3 5FW, UK",ON,,"suppliers@bethphage.co.uk, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 7948 099271"
BU95H168,"52 Murrell Way","Macintyre Care",jeanette.cresswell@macintyrecharity.org,"52 Murrell Way, Shrewsbury SY2 6FL, UK",ON,,,,"+44 1743 364210"
BU95H69,"6 Forbes Close","HF Trust Limited",julie.edwards@hft.org.uk,"6 Forbes Cl, Telford TF7 5LE, UK",ON,,"Finance@hft.org.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1952 432065"
BU95H104,"6 Wrekin Drive","Swanton Care",Susan.gibson@swantoncare.com,"Wrekin Dr, Donnington, Telford TF2 8DP, UK",ON,,Susan.gibson@swantoncare.com,"Wrekin Dr, Donnington, Telford TF2 8DP, UK","+44 7823 790861"
BU95H43,"64 Abbey Foregate","Trident Group",Louise.Turner@tridentreach.org.uk,"64 Abbey Foregate, Shrewsbury SY2 6BG, UK",ON,,"invoices@tridentgroup.org.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1743 367271"
BU95H76,"90 Muxton Lane  (Bethphage)",Bethphage,Bwiggets@bethphage.co.uk,"90 Muxton Ln, Telford TF2 8PF, UK",ON,,"suppliers@bethphage.co.uk, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 7809 395001"
BU95H88,"93 Little Harlescott Ln (Bethphage)",Bethphage,jturford@bethphage.co.uk,"93 Little Harlescott Ln, Shrewsbury SY1 3PD, UK",ON,,"suppliers@bethphage.co.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 7738 540139"
BU95H78,"93 Sutton Road (Bethphage)",Bethphage,GWhitehouse@bethphage.co.uk,"93 Sutton Rd, Shrewsbury SY2 6ED, UK",ON,,,,"+44 1743 272880"
BU95H95,"94 Murrell Way","Macintyre Care",cass.preece@macintyrecharity.org,"94 Murrell Way, Shrewsbury SY2 6FL, UK",ON,,"finance@macintyrecharity.org, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1743 364052"
BU95H131,"99 Allerton Road","Macintyre Care",adam.payne@macintyrecharity.org,"99 Allerton Rd, Shrewsbury SY1 4QW UK",ON,,"adam.payne@macintyrecharity.org, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 1743 364210"
BU95H140,"Abbeymere Care Centre","Karelink Limited",abbeymere@karelink.co.uk,"12 Eggington Rd, Wollaston, Stourbridge DY8 4QJ, UK",ON,,"Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1384 395195"
BU95H123,Abdallah1,Abdallah,abdallah6786@gmail.com,"31 Greenwood road",ON,,,,"+44 7721 760909"
BU95H101,"Albrighton (Bethphage)",Bethphage,KPetford@bethphage.co.uk,"15 Grange Rd, Albrighton, Wolverhampton WV7 3LD, UK",ON,,"suppliers@bethphage.co.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 7732 904624"
BU95H142,"Alphonsus House & Olive","Priory Group",admin@priorygroup.co.uk,"81-85 Vicarage Road Oldbury B68 8HT United Kingdom",ON,,"admin@priorygroup.co.uk, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 121 544 6311"
BU95H29,"Anson Court","Mrs Gnianum Beeghaye Seesurrun",info@ansoncourt.com,"Harden Rd, Walsall WS3 1BT, UK",ON,,,,"+44 1922 409444"
BU95H93,"Anson Court Residential Home","Manor Court Healthcare Limited",ansoncourt@hotmail.com,"Harden Rd, Walsall WS3 1BT, UK",ON,,"ansoncourtrh@outlook.com, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1922 409444"
BU95H134,"Areley House","3A Care (Worcs) Ltd",rita.areley@gmail.com,"Areley Lane, Stourport-on-severn, DY13 0AB",ON,,"rita.areley@gmail.com, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 1299 877727"
BU95H126,"Ashfield House","Camphill Village Trust Limited(The)",kristy.briscoe@cvt.org.uk,"Sugar Loaf Lane Iverley Kidderminster Worcestershire DY10 3PB",ON,,"kristy.briscoe@cvt.org.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1562 701118"
BU95H144,"Autumn Leaf House","Priory Group",neelumbegum@priorygroup.com,"38 Chester Road Solihull B36 9BX",ON,,"neelumbegum@priorygroup.com, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 121 730 2648"
BU95H5,"Barclay Gardens","Coverage Care Services",BGardens@coveragecareservices.co.uk,"Wellington Rd, Donnington, Telford, UK",ON,,,,"+44 1952 605321"
BU95H6,"Barleyfield House","Coverage Care Services",Barleyfields@coveragecareservices.co.uk,"110 Crowmere Road, Monkmoor, Shrewsbury, Shropshire, SY2 5JJ",ON,,,,"+44 1743 355746"
BU95H117,"Barton House Nursing Home","Mr & Mrs J R Mansell",luciaestosipo@bartonneedwoodcare.co.uk,"68 Cemetery Road, Cannock, Staffordshire, WS11 5QH",ON,,"luciaestosipo@bartonneedwoodcare.co.uk, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",luciaestosipo@bartonneedwoodcare.co.uk,"+44 1543 504139"
MI95H169,"Beaman House","PAKS Trust",joy.lewis1@nhs.net,"66 Oaston Rd, Nuneaton CV11 6JZ, UK",ON,,,,"+44 24 7674 2200"
BU95H51,"Beech Spinney","HF Trust Limited",enid.ghampson@hft.org.uk,"Beech Spinney, Ironbridge, Telford TF8 7NE, UK",ON,,"Finance@hft.org.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1952 435840"
BU95H74,"Bethany Lodge","Accomplish Group",manager.bethanylodge@accomplish-group.co.uk,"Bethany Lodge, 222 Malvern Rd, Worcester WR2 4PA, UK",ON,,"purchaseledger@accomplish-group.co.uk, hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 1905 420088"
BU95H99,"Beulah House","Macintyre Care",naomi.banks@macintyrecharity.org,"5 Cemetery Rd, Market Drayton TF9 3BD, UK",ON,,"finance@macintyrecharity.org, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 7511 052534"
BU95H150,"Beverley House","Priory Group",admin@priorygroup.co.uk,"527-529 City Road Birmingham West Midlands B17 8LL",ON,,"Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 121 420 3701"
BU95H87,"Bilston Lane (Bethphage)",Bethphage,LWhitham@bethphage.co.uk,"Flat 3, 4 5 Bilston Lane, Willenhall WV13 2QF, UK",ON,,"suppliers@bethphage.co.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1922 660813"
BU95H_174,Bomani,Demo,adnanahmed9826@gmail.com,"Kizingo, Mombasa, Kenya",ON,adnanahmed9826@gmail.com,adnanahmed9826@gmail.com,,"+254 741 150874"
BU95H173,"Bournville house",Livability,rharris@livability.org.uk,"Telford TF4 3BY, UK",ON,,,,"+44 1743 874885"
BU95H25,"Bowbrook House","English Care",katie@englishgroup.co.uk,"Bowbrook House, Bowbrook, Bicton Heath, Shrewsbury SY3 5BS, UK",ON,,"katie@englishgroup.co.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",katie@englishgroup.co.uk,"+44 1743 247071"
BU95H128,"Bradbury Bungalow","Macintyre Care",jeanette.cresswell@macintyrecharity.org,"Eskdale Rd, Shrewsbury SY2 5UD, UK",ON,,"finance@macintyrecharity.org, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 7752 051087"
BU95H7,Briarfields,"Coverage Care Services",Briarfields@coveragecareservices.co.uk,"Raby Crescent, Belle Vue, Shrewsbury, Shropshire, SY3 7JN",ON,,,,"+44 1743 353374"
BU95H143,"Brickbridge House","Priory Group",laurawilliams2@priorygroup.com,"98 Bridgnorth Road Wolverhampton West Midlands WV5 0AQ",ON,,"laurawilliams2@priorygroup.com, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 1902 892619"
BU95H139,"Brompton House Care Home","HC-One Limited",eva.vasakova@hc-one.co.uk,"Station Road, Broadway, Worcestershire, WR12 7DE",ON,,,,"+44 1386 853473"
BU95H153,"Brunswick House","Priory Group",admin@priorygroup.co.uk,"1 James Watt Drive Wednesbury West Midlands WS10 0PQ",ON,,"Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 121 505 6933"
BU95H154,"Brunswick Mews","Priory Group",admin@priorygroup.co.uk,"70 Brunswick Park Road West Bromwich West Midlands WS10 0PQ",ON,,"Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 121 448 0501"
BU95H127,"Caldene Rest Home","Richmond Court Nursing Home Limited",caldene@rdcp.care.com,"27-29 Beeches Road West Bromwich West Midlands B70 6QE",ON,,"Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 121 500 5664"
BU95H60,"Cateswell court","Accomplish Group",Sheila.Horton@accomplish-group.co.uk,"Cateswell Rd, Hall Green, Birmingham B28 8NB, UK",ON,,"purchaseledger@accomplish-group.co.uk, hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 121 777 1347"
BU95H66,Chesterwood,"Accomplish Group",purchaseledger@accomplish-group.co.uk,"64 Chesterwood Rd, Birmingham B13 0QE, UK",ON,,"purchaseledger@accomplish-group.co.uk, hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 121 444 3736"
BU95H10,"Chillcott Gardens","Coverage Care Services",CGardens@coveragecareservices.co.uk,"Bridgnorth Road, Madeley, Telford, TF7 4LU",ON,,,,"+44 1952 587439"
MI95H135,"Churchill House Care Home","Jubilee Care Ltd",manager@churchillhouseludlow.co.uk,"Keepside Close, Bromfield Road, Ludlow, Shropshire, SY8 1BQ",ON,,"manager@churchillhouseludlow.co.uk, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 1584 877500"
BU95H156,"Cliffdale Rest Home","Cliffdale Limited",manager@cliffdalecarehome.co.uk,"Shrewsbury Road, Pontesbury, Shrewsbury, Shropshire, SY5 0QD",ON,,"manager@cliffdalecarehome.co.uk, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 1743 790261"
BU95H152,"Collinson Court","Priory Group",admin@priorygroup.co.uk,"56 Longton Road Stoke On Trent Staffordshire ST4 8NA",ON,,"Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 1782 658156"
BU95H8,"Coton Hill House","Coverage Care Services",Coton@coveragecareservices.co.uk,"Berwick Road, Shrewsbury, Shropshire, SY1 2PG",ON,,,,"+44 1743 235788"
MI95H133,"Court House Care Home","SUPERIOR CARE (MIDLANDS) LIMITED",admin@courthousecarehome.co.uk,"3-5 Court Road, Malvern, Worcestershire, WR14 3BU",ON,,"admin@courthousecarehome.co.uk, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 1684 572271"
BU95H175,"Courtyard Care Rose House","Swanton Care",Rachel.gurtekin@courtyardcare.co.uk,"1A Shelton Fields, Shrewsbury SY3 8PA, UK",ON,,Rachel.gurtekin@courtyardcare.co.uk,,"+44 1743 664280"
BU95H,"CPI/MAPA Training",Training,recruitment@ignitenursing.com,"Regent House, Bath Ave, Wolverhampton WV1 4EG, UK",ON,,,,"+44 300 303 5959"
BU95H30,"Danesford Grange Care Home","MGC CARE LIMITED",dgaccounts@mgccare.co.uk,"Danesford Grange Care Home, Kidderminster Rd, A442, Bridgnorth WV15 6QD",ON,,dgaccounts@mgccare.co.uk,"Danesford Grange Care Home, Kidderminster Rd, A442, Bridgnorth WV15 6QD","+44 1746 763118"
BU95H34,"Darwin Place","Swanton Care",rosalind.mcculloch@swantoncare.com,"The Dingle, Southfield Rd, Much Wenlock TF13 6AT, UK",ON,,"Invoices@swantoncare.com, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1952 727162"
BU95H37,Demo,Demo,payroll@ignitenursing.com,"Wolverhampton WV10, UK",ON,,,,"+44 300 303 5959"
BU95H28,"Drake Court","Mrs Gnianum Beeghaye Seesurrun",info@drakecourt.com,"Drake Cl, Bloxwich, Walsall WS3 3LW, UK",ON,,,,"+44 1922 476060"
BU95H42,"Elms House","Trident Group",Louise.Turner@tridentreach.org.uk,"Belvidere Avenue,  Shrewsbury,  SY2 5PE",ON,,"invoices@tridentgroup.org.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1743 244392"
BU95H159,"Emergency First Aid At Work Training",Training,recruitment@ignitenursing.com,"Reagent Hs, Bath Avenue, Wolverhampton WV1 4EG",ON,,recruitment@ignitenursing.com,,"+44 300 303 5959"
BU95H56,Evergreen,"Accomplish Group",purchaseledger@accomplish-group.co.uk,"119 Wake Green Rd, Birmingham B13 9UT, UK",ON,,"purchaseledger@accomplish-group.co.uk, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 121 449 1016"
BU95H11,Farcroft,"Coverage Care Services",Farcroft@coveragecareservices.co.uk,"North Road, Wellington, Telford, TF1 3EU",ON,,,,"+44 1952 223447"
BU95H3,"Flat 1 - Parville House",Livability,mearle@livability.org.uk,"Parville House, Crescent Rd, Wellington, Telford TF1 3DL, UK",ON,,"POss@livability.org.uk, purchasing@livability.org.uk, purchases.oss@livability.org.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com","Glebe Rd, Bayston Hill, Shrewsbury SY3, UK","+44 1743 874885"
BU95H124,"Flat 11 Llewellin House","Macintyre Care",gillian.taylor@macintyrecharity.org,"Middleton Rd, Oswestry SY11 2RB, United Kingdom",ON,,"gillian.taylor@macintyrecharity.org, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 1691 590360"
BU95H4,"Flat 4 -Parville House",Livability,monikajones@livability.org.uk,"Parville House, Crescent Rd, Wellington, Telford TF1 3DL, UK",ON,,purchasing@livability.org.uk,"Glebe Rd, Bayston Hill, Shrewsbury SY3, UK","+44 7590 489868"
BU95H100,"Flat 4 -Parville House (Prayngel)","Prayngel Healthcare Limitd",ppool@prayngel.co.uk,"Parville House, Crescent Rd, Wellington, Telford TF1 3DL, UK",ON,,,,"+44 7493 003369"
BU95H129,"Furnace Lane","Swanton Care",lisa.gold@swantoncare.com,"Furnace Ln, Telford TF2 7JE, UK",ON,,"Invoices@swantoncare.com, Beth.Paley@teamfactors.co.uk",,"+44 7917 972451"
BU95H36,Gingercroft,"Sallong Limited",gingercroft.rest@btconnect.com,"Wharf Rd, Gnosall, Stafford ST20 0DB, UK",ON,,"gingercroft.rest@btconnect.com, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1785 822142"
BU95H27,Glanmore,"Accomplish Group",purchaseledger@accomplish-group.co.uk,"156 Holyhead Rd, Wellington, Telford TF1 2DL, UK",ON,,"purchaseledger@accomplish-group.co.uk, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 1952 251975"
BU95H125,Glenview,"Macintyre Care",beverley.robinson@macintyrecharity.org,"54 Gravel Hill Ludlow SY8 1QS United Kingdom",ON,,"finance@macintyrecharity.org, beth.belgrove@teamfactors.co.uk, hamid@handfcare.com",,"+44 1584 876262"
BU95H106,"Grange Road",Bethphage,bwiggetts@bethphage.co.uk,"15 Grange Rd, Albrighton, Wolverhampton WV7 3LD, UK",ON,,"suppliers@bethphage.co.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 7809 395001"
BU95H15,Greenfields,"Coverage Care Services",Greenfields@coveragecareservices.co.uk,"Liverpool Road, Whitchurch, Shropshire, SY13 1SG",ON,,,,"+44 1948 661040"
BU95H73,Greenview,"Accomplish Group",purchaseledger@accomplish-group.co.uk,"109 Coleshill Rd, Marston Green, Birmingham B37 7HT, UK",ON,,"purchaseledger@accomplish-group.co.uk, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 121 779 5541"
MI95H170,"Hatfield House","PAKS Trust",joy.lewis1@nhs.net,"17 New Road, Coventry, West Midlands, CV7 9AS",ON,,,,"+44 24 7674 2200"
BU95H52,"Hermitage Way","HF Trust Limited",julie.edwards@hft.org.uk,"58 Hermitage Way, Telford TF7 5SZ, UK",ON,,"Finance@hft.org.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1952 586224"
BU95H55,"Hft Shropshire & Staffordshire","HF Trust Limited",john.Roberts@hft.org.uk,"2 Forbes Cl, Telford TF7 5LE, UK",ON,,"Finance@hft.org.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1952 432065"
BU95H167,"Highgate Lodge Care Home","Cliffdale Limited",highgatelodgecarehome@gmail.com,"66 Highgate Rd, Walsall WS1 3JE, UK",ON,,,,"+44 1922 218626"
BU95H130,"Hollycroft Nursing Home","Hollycroft Care Limited",manager@hollycroftcare.co.uk,"8-10 Red Hill Stourbridge West Midlands DY8 1ND",ON,,"manager@hollycroftcare.co.uk, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 1384 394341"
BU95H39,"Honeybrook House","Accomplish Group",purchaseledger@accomplish-group.co.uk,"Honeybrook Ln, Kidderminster DY11 5QS, UK",ON,,"purchaseledger@accomplish-group.co.uk, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 1562 748109"
BU95H1,"Ideal Home","Minster care group",admin.idealhome@minstercaregroup.co.uk,"Knowsley Dr, Bicton Heath, Shrewsbury SY3 5DH, UK",ON,,"admin.idealhome@minstercaregroup.co.uk, manager.idealhome@minstercaregroup.co.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com","Knowsley Dr, Bicton Heath, Shrewsbury SY3 5DH","+44 1743 366701"
BU95H18,"Innage Grange","Coverage Care Services",InnageGrange@coveragecareservices.co.uk,"Innage Lane, Bridgnorth, Shropshire, WV16 4HN",ON,,,,"+44 1746 762112"
BU95H40,"Isle Court Nursing Home","Morris Care",claire.harris@morriscare.co.uk,"Isle Ln, Bicton, Shrewsbury SY3 8DY, UK",ON,,"reception.islecourt@morriscare.co.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1743 851600"
BU95H26,"Lady Forester Nursing Home","English Care",katie@englishgroup.co.uk,"Lady Forester Community Nursing Home/Farley Rd, Much Wenlock TF13 6NB",ON,,"katie@englishgroup.co.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1952 727203"
BU95H151,"Lakeside View","Priory Group",admin@priorygroup.co.uk,"1 Ivydene Way (Off Noose Lane) Willenhall WV13 3BB United Kingdom",ON,,"Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 1902 633350"
BU95H22,"Landona House","Landona House",landonahouse@hotmail.co.uk,"Love Ln, Wem, Shrewsbury SY4 5QP, UK",ON,,"Finance@hft.org.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1939 232620"
BU95H50,"Lawnswood Avenue","Royal Mencap Society",ewan.craig@mencap.org.uk,"112 Lawnswood Ave, Chasetown, Burntwood WS7 4YE, UK",ON,,"tanya.howes@mencap.org.uk, ewan.craig@mencap.org.uk, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 1543 684009"
BU95H89,"Leighton Park (Bethphage)",Bethphage,KPetford@bethphage.co.uk,"50 The Furlongs, Bicton Heath, Shrewsbury SY3, UK",ON,,"suppliers@bethphage.co.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com","SY1 3GZ","+44 7874 890510"
BU95H146,"Leonard's Croft","Priory Group",JacquelineDavies2@priorygroup.com,"80 Lichfield Road Stafford Staffordshire ST17 4LP",ON,,"Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1785 214449"
BU95H107,"Lester Court","Accomplish Group",manager.lestercourt@tracscare.co.uk,"2a Storer Rd, Loughborough LE11 5EQ, UK",ON,,"purchaseledger@accomplish-group.co.uk, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 1509 230622"
BU95H162,"LIGATURE TRAINING",Training,recruitment@ignitenursing.com,"Live Interactive Webinar",ON,,,,"+44 300 303 5959"
BU95H13,"Lightmoor View","Coverage Care Services",Lightmoor@coveragecareservices.co.uk,"Nightingale Walk, Lightmoor, Telford, Shropshire,",ON,,,,"+44 1952 432412"
MI95H171,"Lupin House","PAKS Trust",joy.lewis1@nhs.net,"6 Lupin Walk, Nuneaton CV10 7SZ, UK",ON,,,,"+44 24 7674 2200"
BU95H121,"Lyme Valley House Residential Care Home","Lyme Valley House Limited",lymevalleyhouse@hotmail.co.uk,"Lyme Valley House Residential Care Home 115 London Road, Newcastle Under Lyme, Staffordshire, Newcastle Under Lyme Staffordshire ST5 1ND",ON,,"lymevalleyhouse@hotmail.co.uk, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",lymevalleyhouse@hotmail.co.uk,"+44 1782 633407"
BU95H41,"Maer Lane","Trident Group",beverley.owen@tridentreach.org.uk,"4 Maer Ln, Market Drayton TF9 3AL, UK",ON,,"invoices@tridentgroup.org.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1630 698092"
BU95H90,"Malvern view","Accomplish Group",purchaseledger@accomplish-group.co.uk,"573 Birmingham Rd, Lydiate Ash, Bromsgrove B61 0HX, UK",ON,,"purchaseledger@accomplish-group.co.uk, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 121 453 7727"
BU95H91,"Maple Leaf Lodge","Accomplish Group",purchaseledger@accomplish-group.co.uk,"Icknield St, Birmingham B38 9EG, UK",ON,,"purchaseledger@accomplish-group.co.uk, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 1564 824594"
BU95H24,"Marlyn House","Renu Ghai",marlynhouse@yahoo.co.uk,"41-43 Cannock Rd, Cannock WS11 5BU",ON,,"marlynhouse@yahoo.co.uk, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 1543 504009"
BU95H67,Maycroft,"Accomplish Group",purchaseledger@accomplish-group.co.uk,"791 Alcester Rd S, Birmingham B14 5HJ, UK",ON,,"purchaseledger@accomplish-group.co.uk, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 121 474 5394"
BU95H48,"Mill Lodge","First For Care Limited",mill.lodge@btconnect.com,"98 Mill Rd, Pelsall, Walsall WS4 1BU, UK",ON,,"mill.lodge@btconnect.com, Beth.Paley@teamfactors.co.uk, katie@englishgroup.co.uk",,"+44 1922 682556"
